,expr_var,failed,nth
0,0.0,0.0,0.0
1,0.0,0.0,1.0
2,0.0,0.0,2.0
3,0.0,0.0,3.0
4,0.0,0.0,4.0
5,0.0,0.0,5.0
6,0.0,0.0,6.0
7,0.0,0.0,7.0
8,0.0,0.0,8.0
9,0.0,0.0,9.0
10,0.0,0.0,10.0
11,0.0,0.0,11.0
12,0.0,0.0,12.0
13,0.0,0.0,13.0
14,0.0,0.0,14.0
15,0.0,0.0,15.0
16,0.0,0.0,16.0
17,0.0,0.0,17.0
18,0.0,0.0,18.0
19,0.0,0.0,19.0
20,0.01,0.0,0.0
21,0.01,0.0,1.0
22,0.01,0.0,2.0
23,0.01,0.0,3.0
24,0.01,0.0,4.0
25,0.01,0.0,5.0
26,0.01,0.0,6.0
27,0.01,0.0,7.0
28,0.01,0.0,8.0
29,0.01,1.0,9.0
30,0.01,0.0,10.0
31,0.01,0.0,11.0
32,0.01,0.0,12.0
33,0.01,0.0,13.0
34,0.01,0.0,14.0
35,0.01,0.0,15.0
36,0.01,0.0,16.0
37,0.01,0.0,17.0
38,0.01,0.0,18.0
39,0.01,0.0,19.0
40,0.02,0.0,0.0
41,0.02,0.0,1.0
42,0.02,0.0,2.0
43,0.02,0.0,3.0
44,0.02,0.0,4.0
45,0.02,0.0,5.0
46,0.02,0.0,6.0
47,0.02,0.0,7.0
48,0.02,0.0,8.0
49,0.02,0.0,9.0
50,0.02,0.0,10.0
51,0.02,1.0,11.0
52,0.02,0.0,12.0
53,0.02,0.0,13.0
54,0.02,0.0,14.0
55,0.02,0.0,15.0
56,0.02,1.0,16.0
57,0.02,0.0,17.0
58,0.02,0.0,18.0
59,0.02,0.0,19.0
60,0.03,0.0,0.0
61,0.03,0.0,1.0
62,0.03,0.0,2.0
63,0.03,0.0,3.0
64,0.03,0.0,4.0
65,0.03,0.0,5.0
66,0.03,1.0,6.0
67,0.03,0.0,7.0
68,0.03,1.0,8.0
69,0.03,0.0,9.0
70,0.03,0.0,10.0
71,0.03,0.0,11.0
72,0.03,0.0,12.0
73,0.03,0.0,13.0
74,0.03,0.0,14.0
75,0.03,0.0,15.0
76,0.03,0.0,16.0
77,0.03,0.0,17.0
78,0.03,0.0,18.0
79,0.03,0.0,19.0
80,0.04,0.0,0.0
81,0.04,0.0,1.0
82,0.04,1.0,2.0
83,0.04,0.0,3.0
84,0.04,0.0,4.0
85,0.04,1.0,5.0
86,0.04,0.0,6.0
87,0.04,0.0,7.0
88,0.04,0.0,8.0
89,0.04,0.0,9.0
90,0.04,0.0,10.0
91,0.04,0.0,11.0
92,0.04,0.0,12.0
93,0.04,1.0,13.0
94,0.04,0.0,14.0
95,0.04,0.0,15.0
96,0.04,0.0,16.0
97,0.04,0.0,17.0
98,0.04,0.0,18.0
99,0.04,1.0,19.0
100,0.05,0.0,0.0
101,0.05,0.0,1.0
102,0.05,2.0,2.0
103,0.05,0.0,3.0
104,0.05,1.0,4.0
105,0.05,1.0,5.0
106,0.05,0.0,6.0
107,0.05,0.0,7.0
108,0.05,2.0,8.0
109,0.05,0.0,9.0
110,0.05,0.0,10.0
111,0.05,1.0,11.0
112,0.05,1.0,12.0
113,0.05,0.0,13.0
114,0.05,0.0,14.0
115,0.05,1.0,15.0
116,0.05,0.0,16.0
117,0.05,0.0,17.0
118,0.05,1.0,18.0
119,0.05,0.0,19.0
120,0.06,0.0,0.0
121,0.06,1.0,1.0
122,0.06,0.0,2.0
123,0.06,0.0,3.0
124,0.06,2.0,4.0
125,0.06,0.0,5.0
126,0.06,1.0,6.0
127,0.06,0.0,7.0
128,0.06,1.0,8.0
129,0.06,0.0,9.0
130,0.06,0.0,10.0
131,0.06,0.0,11.0
132,0.06,1.0,12.0
133,0.06,0.0,13.0
134,0.06,2.0,14.0
135,0.06,1.0,15.0
136,0.06,0.0,16.0
137,0.06,1.0,17.0
138,0.06,2.0,18.0
139,0.06,2.0,19.0
140,0.07,1.0,0.0
141,0.07,2.0,1.0
142,0.07,0.0,2.0
143,0.07,0.0,3.0
144,0.07,3.0,4.0
145,0.07,0.0,5.0
146,0.07,0.0,6.0
147,0.07,0.0,7.0
148,0.07,0.0,8.0
149,0.07,2.0,9.0
150,0.07,1.0,10.0
151,0.07,1.0,11.0
152,0.07,0.0,12.0
153,0.07,1.0,13.0
154,0.07,1.0,14.0
